cell_id,lat,lon,pop,emp,wage,rent
211,37.98926085537018,-122.34991493737621,112528.51835307569,1308.9625973858656,0.9117913190796237,1.7601859774347106
213,37.988757784711744,-122.26450993277776,21971.191811221932,1308.9625973858656,0.8419880330018589,1.0856103905396794
215,37.988192707932036,-122.17910718577069,281.24503028844225,1308.9625973858656,1.003827492209465,0.362831585875926
245,37.97073422729405,-122.5635511881559,31430.507624784088,26765.632072525783,1.1349693519605408,1.2437755988518826
246,37.951055129963464,-122.52098432358608,60302.65669111822,154916.59055166144,1.2484546905054261,1.4526239874391431
247,37.97038643408036,-122.47816429640888,18753.66419551621,19895.79505365768,0.9841840550113248,1.0295084655289426
248,37.950676613719146,-122.43562078706437,7.337580776691363,1308.9625973858656,0.8675945552791107,0.16293186757491057
249,37.969976667265115,-122.39277900537131,2835.0901045257315,1308.9625973858656,0.9226916618106796,0.708767048766209
250,37.95023616895024,-122.35025898039667,142753.5099241507,48836.20694045668,1.0967647734587898,1.8204366515604566
251,37.96950493069886,-122.3073955768926,50611.51767261052,18333.728896606743,1.1191216985471042,1.380218218479586
252,37.94973379979395,-122.26489916514538,9999.529899211755,2612.319359236888,0.9592465862451027,0.8831826558409961
253,37.96897122881426,-122.22201427278625,1485.6151769258825,1308.9625973858656,0.8379749579834517,0.5623142838168077
254,37.94916951096893,-122.17954160283458,378.8486049046689,1308.9625973858656,0.9337196931676423,0.47120797553059934
255,37.96837556662602,-122.13663535482493,1310.9090227212776,1308.9625973858656,0.9907397034886329,0.5798928958119649
284,37.93170803503146,-122.5637820179792,13013.299101610792,3610.571554890245,0.9866044885431638,1.0723372875273125
285,37.912029038956,-122.52123748669788,45207.43767942088,81991.33697839713,1.11170304634162,1.5026356543903823
286,37.931360726894084,-122.47844028122083,6523.846510188971,1308.9625973858656,0.9082805019590336,0.9411062322974096
287,37.911651050728935,-122.43591906000715,4.519001702905877,1308.9625973858656,0.9652190926632365,0.15600881570509292
288,37.93095153158554,-122.39310014187565,12531.724123001895,1308.9625973858656,1.0001288165533753,0.984063753053743
289,37.911211220358716,-122.35060235961022,36023.186335967875,2582.084755075322,0.8617123100389797,1.405388054199791
290,37.93048045294816,-122.30776186125398,71939.73961712692,30338.054095564068,1.1731026048532787,1.6472493124921717
291,37.91070955197371,-122.26528764653122,33948.10660295408,8749.303297520113,0.9334704965005104,1.3013577844401916
292,37.92994749540514,-122.22242570063042,39.62012642151067,1308.9625973858656,0.9861402192734032,0.25808651042862535
293,37.91014605028249,-122.17997518175625,11277.014370861965,8316.465141120347,1.0958273255203563,1.0953813897388613
294,37.92935266396046,-122.13709192123885,260.78821635986003,1308.9625973858656,0.8745668543259538,0.41079150586712626
